keywords
policy
decision
decision-making
govern
governing
policymaking
members
contributors
institutional
election
selection
rules
contributing
neutrality
membership
nominate
nomination
open
community-owned
decisions
community-run
consensus
license
leadership
transparency
consensus-based
software
voting
veto
judge
consensus
council
mainatiners
users
scope
project
strategic
service
maintenance
discussion
responsibilities
voices
visions
vetoes
viewpoints
serving
